"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"8388","OPTCUR","USDINR","OPTION","23-Jun-2023",75.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.7475,6.6925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.4775,"USDINR"
"3762","OPTCUR","USDINR","OPTION","23-Jun-2023",76,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.5,6.445,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.9725,"USDINR"
"3764","OPTCUR","USDINR","OPTION","23-Jun-2023",76.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.25,6.195,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.7225,"USDINR"
"3766","OPTCUR","USDINR","OPTION","23-Jun-2023",76.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5,5.945,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.4725,"USDINR"
"3773","OPTCUR","USDINR","OPTION","23-Jun-2023",76.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.75,5.695,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.2225,"USDINR"
"3777","OPTCUR","USDINR","OPTION","23-Jun-2023",77,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.5,5.445,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.9725,"USDINR"
"3792","OPTCUR","USDINR","OPTION","23-Jun-2023",77.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4,4.945,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.4725,"USDINR"
"3801","OPTCUR","USDINR","OPTION","23-Jun-2023",77.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.75,4.695,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.2225,"USDINR"
"3803","OPTCUR","USDINR","OPTION","23-Jun-2023",78,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.5,4.445,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.9725,"USDINR"
"3805","OPTCUR","USDINR","OPTION","23-Jun-2023",78.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.25,4.195,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.7225,"USDINR"
