"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"1677","OPTCUR","USDINR","OPTION","04-Aug-2023",75.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.5225,7.4375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.0825,"USDINR"
"10402","OPTCUR","USDINR","OPTION","04-Aug-2023",76,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.2725,7.1875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.2525,"USDINR"
"7249","OPTCUR","USDINR","OPTION","04-Aug-2023",76.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.0225,6.9375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.3275,"USDINR"
"11092","OPTCUR","USDINR","OPTION","04-Aug-2023",76.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.5225,6.4375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.98,"USDINR"
"11128","OPTCUR","USDINR","OPTION","04-Aug-2023",78.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.5225,4.4375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.98,"USDINR"
"11130","OPTCUR","USDINR","OPTION","04-Aug-2023",79,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.2725,4.1875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.73,"USDINR"
"11132","OPTCUR","USDINR","OPTION","04-Aug-2023",79.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.0225,3.9375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.48,"USDINR"
"11142","OPTCUR","USDINR","OPTION","04-Aug-2023",80.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",21,1,1000,0.0025,"US Dollars","","","","",1.7725,2.6875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.23,"USDINR"
"11146","OPTCUR","USDINR","OPTION","04-Aug-2023",81,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",773,1,1000,0.0025,"US Dollars","","","","",1.2725,2.1875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.73,"USDINR"
"11223","OPTCUR","USDINR","OPTION","04-Aug-2023",82.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",207609,1,1000,0.0025,"US Dollars","","","","",0.0425,0.9375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.49,"USDINR"
