date,open,high,low,close
2010-01-04,5201,5238,5167,5232
2010-01-05,5277,5288,5242,5278
2010-01-06,5278,5311,5260,5282
2010-01-07,5282,5303,5245,5263
2010-01-08,5264,5277,5235,5245
2010-01-11,5264,5287,5228,5249
2010-01-12,5251,5301,5201,5210
2010-01-13,5213,5239,5170,5234
2010-01-14,5235,5273,5233,5260
2010-01-15,5260,5280,5242,5252
2010-01-18,5254,5293,5229,5275
2010-01-19,5274,5288,5219,5226
2010-01-20,5226,5257,5201,5222
2010-01-21,5220,5220,5085,5094
2010-01-22,5094,5094,4955,5036
2010-01-25,5035,5036,4983,5008
2010-01-27,5009,5009,4833,4853
2010-01-28,4863,4930,4825,4867
2010-01-29,4866,4894,4766,4882
2010-02-01,4882,4919,4827,4900
2010-02-02,4908,4951,4814,4830
2010-02-03,4831,4949,4831,4932
2010-02-04,4931,4931,4832,4845
2010-02-05,4820,4827,4692,4719
2010-02-06,4713,4768,4713,4757
2010-02-08,4755,4799,4675,4760
2010-02-09,4761,4810,4739,4793
2010-02-10,4793,4827,4748,4757
2010-02-11,4757,4844,4757,4827
2010-02-15,4828,4846,4784,4802
2010-02-16,4802,4880,4791,4856
2010-02-17,4859,4930,4858,4914
2010-02-18,4915,4922,4874,4888
2010-02-19,4887,4887,4806,4845
2010-02-22,4849,4912,4846,4856
2010-02-23,4857,4884,4833,4870
2010-02-24,4870,4881,4835,4859
2010-02-25,4859,4880,4836,4860
2010-02-26,4859,4992,4858,4922
2010-03-02,4936,5029,4935,5017
2010-03-03,5016,5093,5015,5088
2010-03-04,5097,5097,5049,5080
2010-03-05,5081,5119,5068,5089
2010-03-08,5092,5147,5092,5124
2010-03-09,5121,5132,5094,5102
2010-03-10,5102,5137,5092,5116
2010-03-11,5116,5153,5102,5133
2010-03-12,5132,5158,5122,5137
2010-03-15,5134,5151,5101,5129
2010-03-16,5129,5209,5126,5198
2010-03-17,5198,5261,5177,5232
2010-03-18,5233,5256,5214,5246
2010-03-19,5247,5270,5237,5263
2010-03-22,5261,5261,5187,5205
2010-03-23,5206,5244,5193,5225
2010-03-25,5225,5267,5203,5260
2010-03-26,5261,5294,5261,5282
2010-03-29,5284,5330,5242,5303
2010-03-30,5303,5325,5251,5262
2010-03-31,5260,5294,5235,5249
2010-04-01,5249,5299,5249,5291
2010-04-05,5291,5378,5291,5368
2010-04-06,5370,5389,5352,5366
2010-04-07,5366,5400,5345,5375
2010-04-08,5376,5384,5290,5304
2010-04-09,5302,5377,5302,5362
2010-04-12,5354,5382,5325,5340
2010-04-13,5341,5357,5302,5323
2010-04-15,5323,5373,5265,5274
2010-04-16,5273,5283,5238,5263
2010-04-19,5279,5279,5161,5204
2010-04-20,5208,5257,5208,5230
2010-04-21,5230,5266,5230,5245
2010-04-22,5249,5332,5221,5269
2010-04-23,5270,5311,5270,5304
2010-04-26,5299,5342,5299,5322
2010-04-27,5322,5331,5301,5308
2010-04-28,5308,5308,5202,5215
2010-04-29,5215,5265,5215,5254
2010-04-30,5254,5295,5254,5278
2010-05-03,5278,5279,5210,5223
2010-05-04,5224,5250,5135,5149
2010-05-05,5148,5148,5057,5125
2010-05-06,5124,5125,5038,5091
2010-05-07,5072,5086,4985,5018
2010-05-10,5027,5203,5027,5194
2010-05-11,5190,5207,5127,5136
2010-05-12,5134,5173,5099,5157
2010-05-13,5158,5213,5148,5179
2010-05-14,5181,5193,5071,5094
2010-05-17,5094,5095,4966,5060
2010-05-18,5060,5105,5024,5066
2010-05-19,5065,5065,4908,4920
2010-05-20,4924,4980,4924,4948
2010-05-21,4947,4947,4842,4931
2010-05-24,4944,5030,4923,4944
2010-05-25,4945,4947,4786,4807
2010-05-26,4807,4925,4807,4917
2010-05-27,4915,5017,4898,5003
2010-05-28,5006,5077,5006,5067
2010-05-31,5076,5098,5039,5086
2010-06-01,5086,5087,4961,4970
2010-06-02,4971,5031,4967,5020
2010-06-03,5020,5126,5020,5111
2010-06-04,5113,5148,5092,5136
2010-06-07,5133,5133,5004,5034
2010-06-08,5037,5071,4967,4987
2010-06-09,4985,5051,4980,5000
2010-06-10,5000,5085,4998,5079
2010-06-11,5079,5139,5079,5119
2010-06-14,5120,5201,5120,5198
2010-06-15,5201,5231,5171,5222
2010-06-16,5225,5256,5215,5233
2010-06-17,5234,5286,5207,5275
2010-06-18,5275,5302,5246,5263
2010-06-21,5267,5367,5267,5353
2010-06-22,5354,5354,5311,5317
2010-06-23,5316,5333,5288,5323
2010-06-24,5323,5348,5285,5321
2010-06-25,5321,5321,5260,5269
2010-06-28,5271,5339,5271,5334
2010-06-29,5334,5334,5236,5256
2010-06-30,5254,5320,5210,5313
2010-07-01,5312,5313,5232,5251
2010-07-02,5251,5277,5226,5237
2010-07-05,5237,5253,5226,5236
2010-07-06,5236,5297,5232,5289
2010-07-07,5293,5297,5233,5241
2010-07-08,5242,5321,5242,5297
2010-07-09,5297,5359,5297,5352
2010-07-12,5352,5403,5352,5383
2010-07-13,5370,5406,5358,5401
2010-07-14,5402,5453,5372,5386
2010-07-15,5387,5399,5361,5379
2010-07-16,5377,5401,5374,5394
2010-07-19,5393,5409,5362,5386
2010-07-20,5387,5416,5354,5368
2010-07-21,5369,5409,5369,5399
2010-07-22,5399,5447,5372,5442
2010-07-23,5442,5478,5435,5449
2010-07-26,5447,5466,5409,5419
2010-07-27,5420,5451,5407,5431
2010-07-28,5436,5448,5386,5398
2010-07-29,5398,5416,5382,5409
2010-07-30,5408,5413,5349,5368
2010-08-02,5370,5439,5351,5432
2010-08-03,5433,5459,5426,5440
2010-08-04,5441,5482,5428,5468
2010-08-05,5470,5487,5443,5447
2010-08-06,5448,5472,5431,5439
2010-08-09,5440,5492,5433,5486
2010-08-10,5487,5491,5445,5461
2010-08-11,5461,5475,5412,5421
2010-08-12,5419,5431,5372,5416
2010-08-13,5421,5477,5416,5452
2010-08-16,5452,5465,5397,5418
2010-08-17,5422,5444,5409,5414
2010-08-18,5416,5488,5416,5479
2010-08-19,5478,5545,5478,5540
2010-08-20,5541,5547,5513,5531
2010-08-23,5531,5550,5519,5544
2010-08-24,5541,5547,5488,5505
2010-08-25,5505,5506,5453,5462
2010-08-26,5462,5487,5455,5478
2010-08-27,5490,5495,5392,5409
2010-08-30,5409,5469,5390,5415
2010-08-31,5414,5414,5349,5402
2010-09-01,5403,5479,5403,5472
2010-09-02,5472,5514,5472,5486
2010-09-03,5486,5510,5474,5479
2010-09-06,5480,5589,5480,5577
2010-09-07,5576,5626,5572,5604
2010-09-08,5604,5625,5568,5608
2010-09-09,5608,5647,5608,5640
2010-09-13,5639,5771,5639,5760
2010-09-14,5760,5838,5760,5796
2010-09-15,5795,5869,5792,5861
2010-09-16,5861,5902,5816,5829
2010-09-17,5829,5898,5829,5885
2010-09-20,5885,5990,5885,5980
2010-09-21,5981,6033,5962,6009
2010-09-22,6008,6037,5946,5991
2010-09-23,5991,6007,5932,5960
2010-09-24,5959,6029,5951,6018
2010-09-27,6018,6074,6018,6036
2010-09-28,6036,6050,5991,6030
2010-09-29,6029,6072,5980,5991
2010-09-30,5991,6048,5964,6030
2010-10-01,6030,6153,6030,6143
2010-10-04,6145,6222,6145,6159
2010-10-05,6159,6188,6118,6146
2010-10-06,6151,6223,6149,6186
2010-10-07,6187,6199,6108,6120
2010-10-08,6121,6149,6067,6103
2010-10-11,6106,6188,6106,6136
2010-10-12,6136,6145,6058,6091
2010-10-13,6091,6240,6090,6234
2010-10-14,6234,6284,6158,6177
2010-10-15,6176,6201,6050,6063
2010-10-18,6113,6115,5985,6076
2010-10-19,6114,6127,6008,6027
2010-10-20,6003,6038,5967,5982
2010-10-21,6009,6114,5985,6102
2010-10-22,6113,6121,6041,6066
2010-10-25,6101,6151,6095,6106
2010-10-26,6116,6120,6075,6082
2010-10-27,6075,6076,5988,6013
2010-10-28,6040,6071,5968,5988
2010-10-29,6021,6033,5937,6018
2010-11-01,6092,6132,6085,6118
2010-11-02,6128,6138,6094,6119
2010-11-03,6151,6183,6147,6161
2010-11-04,6210,6290,6199,6282
2010-11-05,6322,6339,6303,6312
2010-11-08,6335,6336,6265,6273
2010-11-09,6281,6311,6244,6302
2010-11-10,6303,6308,6269,6276
2010-11-11,6286,6297,6180,6194
2010-11-12,6182,6203,6057,6072
2010-11-15,6080,6129,6039,6122
2010-11-16,6143,6144,5971,5989
2010-11-18,6076,6076,5907,5999
2010-11-19,6011,6013,5864,5890
2010-11-22,5921,6020,5905,6010
2010-11-23,5972,5973,5825,5935
2010-11-24,5947,5977,5834,5866
2010-11-25,5884,5907,5780,5800
2010-11-26,5829,5839,5690,5752
2010-11-29,5790,5843,5755,5830
2010-11-30,5812,5892,5768,5863
2010-12-01,5871,5971,5866,5961
2010-12-02,6023,6030,5981,6012
2010-12-03,6013,6025,5964,5993
2010-12-06,6034,6069,5982,5992
2010-12-07,5995,6001,5940,5977
2010-12-08,5954,5960,5879,5904
2010-12-09,5924,5927,5742,5767
2010-12-10,5761,5866,5721,5857
2010-12-13,5883,5914,5796,5908
2010-12-14,5929,5954,5889,5944
2010-12-15,5931,5943,5866,5892
2010-12-16,5911,5956,5855,5949
2010-12-20,5927,5985,5900,5947
2010-12-21,5960,6007,5960,6001
2010-12-22,6019,6024,5958,5984
2010-12-23,6006,6006,5965,5980
2010-12-24,5940,6017,5940,6012
2010-12-27,6013,6046,5991,5998
2010-12-28,6005,6011,5982,5996
2010-12-29,6005,6068,6003,6060
2010-12-30,6062,6106,6062,6102
2010-12-31,6105,6147,6104,6135
2011-01-03,6177,6179,6147,6158
2011-01-04,6173,6181,6124,6146
2011-01-05,6141,6141,6062,6080
2011-01-06,6107,6116,6022,6048
2011-01-07,6031,6051,5884,5905
2011-01-10,5901,5907,5741,5763
2011-01-11,5768,5843,5698,5754
2011-01-12,5800,5874,5711,5863
2011-01-13,5851,5858,5737,5752
2011-01-14,5752,5834,5640,5655
2011-01-17,5649,5696,5624,5655
2011-01-18,5683,5731,5671,5724
2011-01-19,5737,5748,5663,5691
2011-01-20,5656,5729,5635,5712
2011-01-21,5692,5718,5675,5697
2011-01-24,5717,5756,5698,5743
2011-01-25,5763,5802,5681,5687
2011-01-27,5725,5726,5595,5604
2011-01-28,5614,5614,5460,5512
2011-01-31,5453,5527,5417,5506
2011-02-01,5537,5539,5402,5417
2011-02-02,5470,5491,5416,5432
2011-02-03,5430,5533,5418,5527
2011-02-04,5520,5556,5369,5396
2011-02-07,5430,5440,5377,5396
2011-02-08,5432,5432,5303,5313
2011-02-09,5293,5339,5226,5254
2011-02-10,5246,5273,5197,5226
2011-02-11,5220,5319,5178,5310
2011-02-14,5340,5464,5340,5456
2011-02-15,5468,5507,5408,5481
2011-02-16,5468,5505,5460,5482
2011-02-17,5502,5553,5463,5546
2011-02-18,5558,5599,5442,5459
2011-02-21,5457,5526,5413,5519
2011-02-22,5504,5519,5437,5469
2011-02-23,5452,5495,5428,5437
2011-02-24,5409,5423,5243,5263
2011-02-25,5321,5338,5233,5304
2011-02-28,5330,5477,5309,5333
2011-03-01,5382,5533,5374,5522
2011-03-03,5478,5571,5468,5536
2011-03-04,5586,5608,5524,5539
2011-03-07,5490,5491,5408,5463
2011-03-08,5466,5531,5465,5521
2011-03-09,5542,5563,5477,5531
2011-03-10,5516,5516,5468,5494
2011-03-11,5456,5503,5412,5445
2011-03-14,5437,5537,5434,5532
2011-03-15,5420,5498,5374,5450
2011-03-16,5476,5535,5476,5511
2011-03-17,5455,5510,5435,5447
2011-03-18,5475,5483,5366,5374
2011-03-21,5409,5413,5348,5365
2011-03-22,5391,5428,5376,5414
2011-03-23,5411,5485,5402,5480
2011-03-24,5502,5529,5496,5522
2011-03-25,5589,5667,5561,5654
2011-03-28,5645,5709,5643,5687
2011-03-29,5687,5770,5681,5736
2011-03-30,5756,5803,5754,5788
2011-03-31,5803,5872,5779,5834
2011-04-01,5835,5860,5810,5826
2011-04-04,5842,5919,5833,5908
2011-04-05,5924,5929,5856,5910
2011-04-06,5908,5944,5869,5892
2011-04-07,5889,5906,5866,5886
2011-04-08,5887,5927,5822,5842
2011-04-11,5805,5830,5778,5786
2011-04-13,5748,5924,5736,5912
2011-04-15,5899,5907,5806,5825
2011-04-18,5824,5898,5722,5729
2011-04-19,5716,5763,5693,5741
2011-04-20,5786,5857,5760,5852
2011-04-21,5883,5913,5864,5885
2011-04-25,5860,5907,5857,5875
2011-04-26,5877,5893,5792,5868
2011-04-27,5884,5892,5820,5834
2011-04-28,5851,5856,5777,5785
2011-04-29,5783,5804,5706,5750
2011-05-02,5767,5775,5688,5701
2011-05-03,5690,5711,5555,5565
2011-05-04,5568,5579,5503,5537
2011-05-05,5532,5560,5444,5460
2011-05-06,5478,5564,5472,5551
2011-05-09,5575,5586,5502,5551
2011-05-10,5556,5593,5515,5541
2011-05-11,5547,5575,5525,5565
2011-05-12,5538,5573,5476,5486
2011-05-13,5492,5605,5472,5545
2011-05-16,5542,5542,5488,5499
2011-05-17,5496,5524,5421,5439
2011-05-18,5448,5461,5401,5421
2011-05-19,5448,5453,5411,5428
2011-05-20,5451,5518,5433,5486
2011-05-23,5457,5457,5373,5387
2011-05-24,5385,5423,5367,5395
2011-05-25,5389,5389,5329,5349
2011-05-26,5373,5422,5356,5412
2011-05-27,5414,5486,5414,5476
2011-05-30,5494,5509,5459,5473
2011-05-31,5492,5572,5490,5560
2011-06-01,5561,5597,5559,5592
2011-06-02,5530,5568,5522,5550
2011-06-03,5566,5605,5507,5517
2011-06-06,5504,5543,5480,5532
2011-06-07,5509,5570,5508,5556
2011-06-08,5535,5557,5515,5527
2011-06-09,5524,5540,5502,5521
2011-06-10,5518,5521,5457,5486
2011-06-13,5470,5497,5437,5483
2011-06-14,5486,5520,5484,5501
2011-06-15,5494,5499,5439,5448
2011-06-16,5420,5448,5390,5397
2011-06-17,5413,5421,5356,5366
2011-06-20,5372,5377,5196,5258
2011-06-21,5281,5322,5257,5276
2011-06-22,5305,5311,5263,5278
2011-06-23,5269,5331,5252,5320
2011-06-24,5343,5478,5343,5471
2011-06-27,5441,5553,5434,5527
2011-06-28,5549,5558,5496,5545
2011-06-29,5567,5609,5567,5600
2011-06-30,5615,5658,5606,5647
2011-07-01,5706,5706,5610,5627
2011-07-04,5680,5680,5633,5651
2011-07-05,5660,5660,5612,5632
2011-07-06,5623,5655,5611,5625
2011-07-07,5633,5737,5633,5729
2011-07-08,5735,5740,5651,5661
2011-07-11,5648,5653,5602,5616
2011-07-12,5557,5580,5497,5526
2011-07-13,5542,5596,5541,5585
2011-07-14,5569,5654,5542,5600
2011-07-15,5603,5632,5563,5581
2011-07-18,5582,5597,5551,5567
2011-07-19,5570,5628,5557,5614
2011-07-20,5642,5645,5555,5567
2011-07-21,5555,5579,5533,5542
2011-07-22,5577,5642,5567,5634
2011-07-25,5634,5701,5617,5680
2011-07-26,5688,5702,5560,5575
2011-07-27,5589,5592,5522,5547
2011-07-28,5492,5512,5476,5488
2011-07-29,5479,5520,5454,5482
2011-08-01,5528,5552,5486,5517
2011-08-02,5493,5496,5434,5457
2011-08-03,5402,5423,5379,5405
2011-08-04,5412,5435,5323,5332
2011-08-05,5204,5230,5116,5211
2011-08-08,5084,5204,5054,5119
2011-08-09,4948,5167,4946,5073
2011-08-10,5197,5198,5123,5161
2011-08-11,5128,5185,5121,5138
2011-08-12,5194,5194,5053,5073
2011-08-16,5126,5132,5015,5036
2011-08-17,5030,5112,5017,5057
2011-08-18,5078,5079,4932,4944
2011-08-19,4859,4894,4796,4846
2011-08-22,4844,4910,4809,4899
2011-08-23,4925,4966,4864,4949
2011-08-24,4934,4962,4875,4889
2011-08-25,4915,4916,4825,4840
2011-08-26,4839,4872,4720,4748
2011-08-29,4806,4934,4806,4920
2011-08-30,4973,5016,4928,5001
2011-09-02,5110,5114,4993,5040
2011-09-05,4999,5030,4964,5017
2011-09-06,4993,5073,4943,5064
2011-09-07,5080,5155,5076,5125
2011-09-08,5139,5169,5098,5153
2011-09-09,5161,5164,5047,5059
2011-09-12,4982,4986,4911,4947
2011-09-13,4978,5030,4911,4941
2011-09-14,4965,5026,4917,5013
2011-09-15,5062,5091,4967,5076
2011-09-16,5123,5144,5068,5084
2011-09-19,5068,5068,5019,5032
2011-09-20,5043,5150,5035,5140
2011-09-21,5154,5168,5110,5133
2011-09-22,5054,5060,4908,4924
2011-09-23,4874,4930,4830,4868
2011-09-26,4879,4880,4759,4835
2011-09-27,4905,4983,4905,4971
2011-09-28,5006,5006,4918,4946
2011-09-29,4924,5034,4906,5015
2011-09-30,4990,5026,4924,4943
2011-10-03,4874,4879,4824,4850
2011-10-04,4824,4870,4728,4772
2011-10-05,4791,4828,4741,4751
2011-10-07,4884,4923,4861,4888
2011-10-10,4887,4991,4882,4980
2011-10-11,5020,5045,4964,4974
2011-10-12,5011,5110,4998,5099
2011-10-13,5131,5137,5068,5078
2011-10-14,5057,5141,5057,5132
2011-10-17,5156,5160,5085,5118
2011-10-18,5049,5058,5011,5038
2011-10-19,5080,5148,5075,5139
2011-10-20,5087,5099,5034,5092
2011-10-21,5107,5121,5038,5050
2011-10-24,5115,5146,5085,5098
2011-10-25,5138,5211,5086,5192
2011-10-26,5215,5219,5196,5202
2011-10-28,5342,5400,5323,5361
2011-10-31,5359,5360,5315,5327
2011-11-01,5279,5311,5238,5258
2011-11-02,5217,5300,5205,5258
2011-11-03,5242,5282,5202,5266
2011-11-04,5325,5326,5257,5284
2011-11-08,5292,5304,5252,5289
2011-11-09,5310,5318,5212,5221
2011-11-11,5160,5199,5142,5169
2011-11-14,5217,5229,5141,5148
2011-11-15,5131,5159,5053,5069
2011-11-16,5059,5065,4990,5030
2011-11-17,5027,5037,4919,4935
2011-11-18,4899,4916,4838,4906
2011-11-21,4874,4874,4765,4778
2011-11-22,4795,4854,4783,4812
2011-11-23,4780,4780,4641,4706
2011-11-24,4708,4771,4639,4756
2011-11-25,4731,4767,4693,4710
2011-11-28,4769,4859,4766,4851
2011-11-29,4864,4866,4787,4805
2011-11-30,4766,4852,4755,4832
2011-12-01,4971,5012,4917,4937
2011-12-02,4941,5063,4918,5050
2011-12-05,5037,5055,5003,5039
2011-12-07,5050,5099,5032,5063
2011-12-08,5037,5049,4921,4944
2011-12-09,4871,4918,4842,4867
2011-12-12,4907,4910,4756,4765
2011-12-13,4734,4825,4729,4801
2011-12-14,4789,4840,4750,4763
2011-12-15,4713,4769,4674,4746
2011-12-16,4753,4819,4628,4652
2011-12-19,4623,4623,4556,4613
2011-12-20,4636,4637,4531,4544
2011-12-21,4636,4707,4602,4693
2011-12-22,4637,4741,4633,4734
2011-12-23,4763,4763,4693,4714
2011-12-26,4718,4787,4718,4779
2011-12-27,4780,4801,4724,4751
2011-12-28,4756,4756,4686,4706
2011-12-29,4681,4702,4639,4646
2011-12-30,4660,4690,4609,4624
2012-01-02,4640,4646,4588,4637
2012-01-03,4676,4773,4676,4765
2012-01-04,4775,4783,4729,4750
2012-01-05,4749,4780,4730,4750
2012-01-06,4724,4795,4687,4754
2012-01-07,4756,4759,4743,4747
2012-01-09,4748,4759,4695,4743
2012-01-10,4772,4856,4768,4850
2012-01-11,4863,4877,4842,4861
2012-01-12,4841,4869,4804,4831
2012-01-13,4862,4899,4834,4866
2012-01-16,4844,4881,4827,4874
2012-01-17,4905,4976,4904,4967
2012-01-18,4978,4981,4931,4956
2012-01-19,4995,5024,4991,5018
2012-01-20,5045,5064,5004,5049
2012-01-23,5025,5060,5021,5046
2012-01-24,5065,5141,5050,5127
2012-01-25,5152,5174,5130,5158
2012-01-27,5217,5217,5162,5205
2012-01-30,5164,5166,5077,5087
2012-01-31,5125,5215,5120,5199
2012-02-01,5198,5245,5159,5236
2012-02-02,5272,5290,5226,5270
2012-02-03,5276,5335,5256,5326
2012-02-06,5379,5390,5327,5362
2012-02-07,5413,5413,5323,5335
2012-02-08,5344,5397,5325,5368
2012-02-09,5343,5423,5339,5412
2012-02-10,5400,5428,5341,5382
2012-02-13,5382,5421,5351,5390
2012-02-14,5381,5428,5378,5416
2012-02-15,5461,5542,5461,5532
2012-02-16,5514,5531,5484,5522
2012-02-17,5574,5607,5545,5564
2012-02-21,5562,5622,5562,5607
2012-02-22,5610,5630,5491,5505
2012-02-23,5490,5537,5461,5483
2012-02-24,5479,5521,5406,5429
2012-02-27,5448,5450,5268,5281
2012-02-28,5311,5391,5306,5376
2012-02-29,5425,5459,5352,5385
2012-03-01,5366,5372,5298,5340
2012-03-02,5369,5393,5315,5359
2012-03-03,5360,5370,5353,5359
2012-03-05,5343,5345,5266,5280
2012-03-06,5266,5382,5206,5222
2012-03-07,5207,5244,5171,5220
2012-03-09,5294,5342,5292,5334
2012-03-12,5420,5422,5327,5360
2012-03-13,5391,5439,5391,5430
2012-03-14,5491,5499,5438,5464
2012-03-15,5463,5463,5362,5381
2012-03-16,5380,5446,5305,5318
2012-03-19,5337,5341,5239,5257
2012-03-20,5257,5297,5233,5275
2012-03-21,5267,5372,5256,5365
2012-03-22,5361,5386,5206,5228
2012-03-23,5256,5312,5220,5278
2012-03-26,5274,5275,5175,5184
2012-03-27,5243,5278,5185,5243
2012-03-28,5232,5237,5170,5195
2012-03-29,5146,5194,5136,5179
2012-03-30,5207,5307,5204,5296
2012-04-02,5296,5332,5279,5318
2012-04-03,5353,5379,5344,5359
2012-04-04,5329,5338,5305,5323
2012-04-09,5283,5288,5228,5234
2012-04-10,5254,5256,5212,5244
2012-04-11,5209,5264,5191,5227
2012-04-12,5247,5291,5247,5277
2012-04-13,5256,5307,5185,5207
2012-04-16,5191,5234,5184,5226
2012-04-17,5267,5298,5208,5290
2012-04-18,5321,5342,5293,5300
2012-04-19,5321,5342,5291,5332
2012-04-20,5314,5336,5245,5291
2012-04-23,5277,5311,5187,5201
2012-04-24,5216,5232,5180,5223
2012-04-25,5222,5236,5161,5202
2012-04-26,5215,5216,5179,5189
2012-04-27,5189,5223,5154,5191
2012-04-28,5210,5216,5196,5209
2012-04-30,5201,5262,5201,5248
2012-05-02,5254,5280,5226,5239
2012-05-03,5211,5217,5181,5188
2012-05-04,5167,5177,5071,5087
2012-05-07,5018,5125,4988,5114
2012-05-08,5115,5120,4984,5000
2012-05-09,4968,5016,4956,4975
2012-05-10,4984,5039,4950,4966
2012-05-11,4939,4976,4906,4929
2012-05-14,4934,4957,4875,4908
2012-05-15,4870,4955,4869,4943
2012-05-16,4875,4882,4837,4858
2012-05-17,4879,4922,4850,4870
2012-05-18,4796,4909,4789,4891
2012-05-21,4889,4938,4889,4906
2012-05-22,4955,4956,4850,4861
2012-05-23,4843,4854,4804,4836
2012-05-24,4863,4932,4830,4921
2012-05-25,4906,4936,4889,4920
2012-05-28,4932,4995,4931,4986
2012-05-29,5005,5020,4982,4990
2012-05-30,4964,4982,4945,4951
2012-05-31,4896,4949,4884,4924
2012-06-01,4911,4925,4832,4842
2012-06-04,4797,4858,4770,4848
2012-06-05,4869,4899,4848,4863
2012-06-06,4887,5010,4886,4997
2012-06-07,5035,5060,5008,5050
2012-06-08,5044,5084,4995,5068
2012-06-11,5097,5124,5041,5054
2012-06-12,5016,5129,5015,5116
2012-06-13,5118,5145,5095,5121
2012-06-14,5105,5130,5048,5055
