,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
0,2023-07-07 09:15:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215.1,215.1,193.45,193.6,97700,1984250,0
1,2023-07-07 09:16:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,193.1,194.6,190,194.6,55300,1984250,1
2,2023-07-07 09:17:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,195.2,196.35,193.3,194.05,54000,1982650,2
3,2023-07-07 09:18:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,194,195.8,193.7,195.5,33450,1982650,3
4,2023-07-07 09:19:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,194.7,194.7,191.95,193.3,17400,1982650,4
5,2023-07-07 09:20:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,193.2,195,192.5,192.7,29050,2000600,5
6,2023-07-07 09:21:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,193.5,193.5,187.2,187.2,29650,2000600,6
7,2023-07-07 09:22:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,189.4,189.4,187,187.1,26800,2000600,7
8,2023-07-07 09:23:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,186.85,186.85,183.95,185.3,31850,2010650,8
9,2023-07-07 09:24:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,185,186.6,184.45,184.8,29900,2010650,9
10,2023-07-07 09:25:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,184.8,185,182.5,182.65,30400,2010650,10
11,2023-07-07 09:26:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,182.15,183.25,181.65,181.65,18400,2023950,11
12,2023-07-07 09:27:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,182.5,184.7,181.6,183.75,19950,2023950,12
13,2023-07-07 09:28:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,183.5,183.65,180.65,180.65,32850,2023950,13
14,2023-07-07 09:29:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,180.4,181.45,177.65,178.55,38000,2053050,14
15,2023-07-07 09:30:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,177.9,180.15,177.9,178.1,32650,2053050,15
16,2023-07-07 09:31:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.7,179.85,177.75,178.4,40250,2053050,16
17,2023-07-07 09:32:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.6,180.45,178.2,178.55,20350,2082450,17
18,2023-07-07 09:33:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.35,178.35,174.5,174.85,33100,2082450,18
19,2023-07-07 09:34:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,174.35,176.85,174.35,176.4,21200,2082450,19
20,2023-07-07 09:35:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,176.4,176.45,174.6,176.45,13300,2104550,20
21,2023-07-07 09:36:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,176.4,178.55,176,178.4,19900,2104550,21
22,2023-07-07 09:37:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.75,179,176.5,178,30050,2104550,22
23,2023-07-07 09:38:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,177.65,179.05,176.95,177,16050,2123650,23
24,2023-07-07 09:39:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,177.1,177.55,175.4,176.35,8600,2123650,24
25,2023-07-07 09:40:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,176.1,176.55,173.4,174.1,19150,2123650,25
26,2023-07-07 09:41:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,173.7,175.6,173.6,175,19400,2127400,26
27,2023-07-07 09:42:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,175,175.3,174.05,175.15,12650,2127400,27
28,2023-07-07 09:43:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,175,177.65,175,177.65,14300,2127400,28
29,2023-07-07 09:44:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,177.1,178.75,177.1,178,13500,2136650,29
30,2023-07-07 09:45:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.3,179.3,178,179.05,6800,2136650,30
31,2023-07-07 09:46:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,179.35,180.65,178.7,178.7,20100,2136650,31
32,2023-07-07 09:47:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.4,180.7,177.8,180.25,15350,2140700,32
33,2023-07-07 09:48:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,180.8,180.8,178.05,179.35,22150,2140700,33
34,2023-07-07 09:49:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,179.2,180.15,178.45,180.15,9000,2140700,34
35,2023-07-07 09:50:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,180.55,180.7,178.5,179.95,9050,2145650,35
36,2023-07-07 09:51:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,179.5,180,176.45,177.15,14200,2145650,36
37,2023-07-07 09:52:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,177.15,177.65,175.8,176.55,8850,2145650,37
38,2023-07-07 09:53:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,176.35,176.35,172.75,173.2,21750,2152150,38
39,2023-07-07 09:54:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,173.05,173.4,171.05,172.4,32500,2152150,39
40,2023-07-07 09:55:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,172.05,172.2,170.1,170.85,33500,2152150,40
41,2023-07-07 09:56:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,171.5,171.95,170.55,171.65,17050,2156150,41
42,2023-07-07 09:57:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,172,172.5,170.4,170.7,21900,2156150,42
43,2023-07-07 09:58:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,170,170,168.5,169.35,35350,2156150,43
44,2023-07-07 09:59:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,169.5,170,167,167.1,41300,2167600,44
45,2023-07-07 10:00:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,167.2,169.3,165.25,169,34000,2167600,45
46,2023-07-07 10:01:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,168.5,169.35,167.5,168.85,27000,2167600,46
47,2023-07-07 10:02:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,169.6,170.25,168.95,169.45,36450,2183850,47
48,2023-07-07 10:03:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,169.55,170.5,168.95,170.4,20750,2183850,48
49,2023-07-07 10:04:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,170.4,171.75,170,171.5,23550,2183850,49
50,2023-07-07 10:05:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,171.3,172,169.75,172,71250,2186750,50
51,2023-07-07 10:06:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,171.7,172.2,170,170.5,25050,2186750,51
52,2023-07-07 10:07:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,170.3,171.7,169.95,170.45,25200,2186750,52
53,2023-07-07 10:08:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,170.5,170.65,169.45,170.15,22450,2197800,53
54,2023-07-07 10:09:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,170.75,170.8,169.7,170,10550,2197800,54
55,2023-07-07 10:10:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,170.3,171.45,169.5,171.45,20350,2197800,55
56,2023-07-07 10:11:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,171.55,175.65,171.55,175.4,43500,2203400,56
57,2023-07-07 10:12:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,175.8,178.55,175.8,177.3,24900,2203400,57
58,2023-07-07 10:13:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,176.75,177.9,175.35,177.2,27200,2203400,58
59,2023-07-07 10:14:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.15,178.4,174.65,174.65,21500,2197550,59
60,2023-07-07 10:15:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,174.5,177.4,174.5,177.4,30100,2197550,60
61,2023-07-07 10:16:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178,178.55,177,178.1,19300,2197550,61
62,2023-07-07 10:17:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,177.6,178.6,176.15,178.6,19650,2205900,62
63,2023-07-07 10:18:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.6,178.6,177.95,178.1,8450,2205900,63
64,2023-07-07 10:19:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.5,181,177.9,180.8,22500,2205900,64
65,2023-07-07 10:20:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,180.85,180.85,176.55,177.25,23700,2197050,65
66,2023-07-07 10:21:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,176.95,178.3,176.3,177.75,16300,2197050,66
67,2023-07-07 10:22:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,178.35,180,178,179,14700,2197050,67
68,2023-07-07 10:23:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,179,182.85,179,182.85,15250,2195400,68
69,2023-07-07 10:24:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,182.8,184.2,181,181.6,26100,2195400,69
70,2023-07-07 10:25:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,181.65,182,180.5,182,8250,2195400,70
71,2023-07-07 10:26:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,182.2,183.5,182.2,182.45,13850,2191750,71
72,2023-07-07 10:27:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,182.95,184.55,182.95,184.25,18350,2191750,72
73,2023-07-07 10:28:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,184.35,184.35,182.8,184.2,15750,2191750,73
